src,dst,attack
120.164.189.126,1.96.167.79,0
66.106.221.33,114.16.85.249,0
161.69.48.219,161.69.45.5,0
43.139.101.15,1.2.210.83,0
168.147.166.80,168.147.23.17,0
66.106.221.33,114.16.85.249,0
153.193.47.190,102.29.125.33,0
168.147.166.80,168.147.23.17,0
15.68.187.164,104.239.143.204,0
126.41.121.0,221.46.220.116,0
220.27.151.115,67.231.121.72,0
43.253.9.93,153.193.117.253,0
100.126.5.20,184.100.40.46,0
112.44.81.60,153.193.46.216,0
168.147.166.80,168.147.23.17,0
221.112.135.201,100.66.56.122,0
161.69.48.219,161.69.45.5,0
221.112.135.201,100.66.56.122,0
43.139.101.107,1.2.38.184,0
221.112.135.201,100.66.56.122,0
201.59.16.249,1.76.216.95,0
100.126.5.20,184.100.40.46,0
70.51.99.144,100.81.211.39,0
153.193.47.190,102.29.125.33,0
71.135.139.37,210.108.107.117,0
221.112.135.201,100.66.56.122,0
55.213.231.210,104.128.1.228,0
